시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
상방리 마을회관,마을회관,충청북도 단양군 단성면 상방3길 27,충청북도 단양군 단성면 상방리 107-1,36.93597682,128.324261,영업,,2020-01-01,138.16,충청북도 단양군,2024-08-22,4480000,충청북도 단양군
중방리 마을회관,마을회관,충청북도 단양군 단성면 월악중방길 80,충청북도 단양군 단성면 중방리 395,36.93666775,128.3122294,영업,,2014-01-01,229.84,충청북도 단양군,2024-08-22,4480000,충청북도 단양군
두항리 다목적회관,마을회관및경로당,충청북도 단양군 단성면 두항1길 66,충청북도 단양군 단성면 두항리 151-5,36.92159193,128.242665,영업,,2003-01-01,111.2,두항리마을회,2024-08-22,4480000,충청북도 단양군
고평리 마을회관,마을회관,충청북도 단양군 단성면 고평1길 88,충청북도 단양군 단성면 고평리 147-1,36.91561704,128.2507472,영업,,2001-01-01,90.58,고평리마을회,2024-08-22,4480000,충청북도 단양군
사가정센트럴아이파크APT경로당,경로당,서울특별시 중랑구 동일로92길 40,서울특별시 중랑구 면목동 164-10,37.58189295,127.0803759,영업,,2021-12-07,,서울특별시 중랑구청,2024-08-01,3060000,서울특별시 중랑구
옥수리경로당,마을회관및경로당,충청북도 청주시 청원구 북이면 옥수길 38,충청북도 청주시 청원구 북이면 옥수리 191-1,36.76624634,127.5639106,영업,,1997-01-20,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
옥화리,마을회관및경로당,충청북도 청주시 상당구 미원면 옥화길 4,충청북도 청주시 상당구 미원면 옥화리 109-1,36.61473712,127.6992936,영업,,1993-03-06,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
왕대,경로당,"충청북도 청주시 흥덕구 월명로23번길 9-8, 1층",충청북도 청주시 흥덕구 복대동 835,36.63638178,127.4525898,영업,,1997-12-11,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산12리,경로당,충청북도 청주시 흥덕구 옥산면 오송가락로 752 (금정2차A 관리동),충청북도 청주시 흥덕구 옥산면 오산리 589-5,36.65938982,127.3688079,영업,,1998-10-21,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산13리,경로당,충청북도 청주시 흥덕구 옥산면 오송가락로 718 (아트빌A 관리동),충청북도 청주시 흥덕구 옥산면 오산리 591-1,36.65697591,127.3692025,영업,,2000-02-23,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산1리,마을회관및경로당,충청북도 청주시 흥덕구 옥산면 옥산시내1길 27,충청북도 청주시 흥덕구 옥산면 오산리 535-2,36.6637589,127.3742225,영업,,2008-04-30,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산2리,마을회관및경로당,충청북도 청주시 흥덕구 옥산면 청주역로 712,충청북도 청주시 흥덕구 옥산면 오산리 163-5,36.66708593,127.3680712,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산3리,마을회관및경로당,충청북도 청주시 흥덕구 옥산면 옥산시내2길 17-2,충청북도 청주시 흥덕구 옥산면 오산리 211-1,36.66492302,127.3738936,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산4리,경로당,충청북도 청주시 흥덕구 옥산면 청주역로 703 (삼영A),충청북도 청주시 흥덕구 옥산면 오산리 159-2,36.66644996,127.3688987,영업,,2009-12-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
