시설명,시설주소,위도,경도,우편주소,전화번호,홈페이지
청주내덕노인복지관,충청북도 청주시 청원구 충청대로 62번길 1-18,36.662388,127.4941098,28495,043-216-9810,http://www.ndsenior.or.kr/content/30
청주가경노인복지관,충청북도 청주시 흥덕구 서부로 1225,36.6122561,127.4357032,28382,043-236-0111,https://www.cjsenior.or.kr/main/sub.html?pageCode=8
청주상당노인복지관,충청북도 청주시 상당구 단재로 361,36.5984405,127.5060466,28786,043-288-3060,https://oksilver.or.kr/web/guidance/timetable.asp?mnum=1&snum=2
청주서원노인복지관,충청북도 청주시 서원구 원흥로 11-10,36.6074221,127.4706055,28629,043-238-3786,http://www.seowonnoin.or.kr/home/guidance/timetable.asp?mnum=1&snum=1
청주시노인종합복지관,충청북도 청주시 상당구 대성로172번길 21,36.6410549,127.4929703,28511,043-255-2144,http://www.cjsilver.or.kr/
충북노인종합복지관,"충청북도 청주시 서원구 흥덕로 42(사직동, 충청북도노인종합복지관)",36.6397222,127.4741667,28547,043-265-5305,http://www.cbsilver.or.kr/main/main.html
