"RSTR_NM","DTL_ADRES","RN_DTL_ADRES","LO","LA","USE_PSB_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCDTN","CHCK_MATTER_NIGHT_OPN_AT","FCLTY_OPRN_AT"
"창신경로당","359-18","충청북도 청주시 서원구 창직로29번길 25",127.4649336,36.632062,,5,,"N","Y"
"대원칸타빌경로당","285-3","충청북도 청주시 서원구 1순환로 679 (사창동)",127.461217,36.6330179,,6,,"N","Y"
"수곡1동행정복지센터","338-0","충청북도 청주시 서원구 구룡산로 322",127.4799035,36.6182877,,5,,"N","Y"
"새텃말경로당","215-4","충청북도 청주시 서원구 매봉로60번길 40-2",127.480391,36.615338,,4,,"N","Y"
"성심신용협동조합내덕지점","109-19","충청북도 청주시 청원구 내덕동 안덕벌로  40   (내덕동)",127.492983,36.657531,,0,,"N","Y"
"내덕신협협동조합","414-29","충청북도 청주시 청원구 충청대로 51 (내덕동)",127.4911344,36.661689,,0,,"N","Y"
"진양아파트경로당","677-1 진양아파트 진양아파트경로당","충청북도 청주시 흥덕구  사운로  257 , 진양아파트경로당 (운천동, 진양아파트)",127.4728393,36.6497002,,1,,,"Y"
"삼성아파트경로당","159 삼성아파트경로당","충청북도 청주시 흥덕구  사운로321번길  20 , 삼성아파트경로당 (신봉동)",127.4673975,36.6555521,,1,,,"Y"
"두진백로아파트경로당","35-1","충청북도 청주시 흥덕구 사운로324번길 14 (신봉동, 두진백로아파트)",127.4711345,36.6563675,,1,,,"Y"
"산미새마을금고","1247 산미새마을금고","충청북도 청주시 서원구  산미로  150 , 산미새마을금고 (산남동)",127.4762775,36.6091573,,0,,"N","Y"
"산남동행정복지센터","291-6 산남동주민센터","충청북도 청주시 서원구  안뜸로12번길  42 , 산남동주민센터 (분평동)",127.4785874,36.6103447,,5,,"N","Y"
"낙원경로당(우성2차)","237-0","충청북도 청주시 서원구 청남로2005번길 45",127.4827284,36.6097585,,2,,"N","Y"
"오복경로당","312-30 오복경로당","충청북도 청주시 서원구  안뜸로  44 , 오복경로당 (분평동)",127.4823174,36.611925,,2,,"N","Y"
"흥덕경로당","1524-0","충청북도 청주시 흥덕구 흥덕로172번길 17 (운천동)",127.4782572,36.6480357,,2,,,"Y"
"효촌4리경로당","43-2","충청북도 청주시 상당구 남일면 효촌송정3길 14 (보람주택)",127.5098643,36.5852047,,2,,"N","Y"
"가중2리경로당","408-3","충청북도 청주시 상당구 남일면가중2길 3",127.470304,36.573521,,2,,"N","Y"
"동남LH3단지경로당","3156-0","충청북도 청주시 상당구 호미로 60 (용암동, 청주동남엘에이치3단지)",127.5233531,36.6162338,,3,,"N","Y"
"우림필유아파트경로당","177-0","충청북도 청주시 흥덕구 사운로359번길 13 (신봉동, 우림필유)",127.4666284,36.6563011,,1,,,"Y"
"주공2차경로당","2108-0","충청북도 청주시 상당구 원봉로 52-1",127.5096768,36.6143724,,8,,"N","Y"
"운천신봉동행정복지센터","1565 운천신봉동주민센터","충청북도 청주시 흥덕구  사운로  216 , 운천신봉동주민센터 (운천동)",127.4766235,36.6479225,,10,,,"Y"
"농협중앙회운천동지점","596-1 농협중앙회운천동지점","충청북도 청주시 흥덕구  사운로  266 , 농협중앙회운천동지점 (운천동)",127.4735683,36.6515753,,3,,,"Y"
"운천경로당","422-29 운천경로당","충청북도 청주시 흥덕구  무심서로  713 , 운천경로당 (운천동)",127.475082,36.653236,,1,,,"Y"
